Nat,Pokemon,Generation,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve
396,Starly,IV,40,55,30,30,30,60,245,Normal,Flying,Keen Eye,,Reckless,1 Spe,Neutral,Flying,,255,
397,Staravia,IV,55,75,50,40,40,80,340,Normal,Flying,Intimidate,,Reckless,2 Spe,Neutral,Flying,,120,Lv. 14
398,Staraptor,IV,85,120,70,50,60,100,485,Normal,Flying,Intimidate,,Reckless,3 Atk,Neutral,Flying,,45,Lv. 34
399,Bidoof,IV,59,45,40,35,40,31,250,Normal,,Simple,Unaware,Moody,1 HP,Neutral,Water 1,Field,255,
400,Bibarel,IV,79,85,60,55,60,71,410,Normal,Water,Simple,Unaware,Moody,2 Atk,Neutral,Water 1,Field,127,Lv. 15
401,Kricketot,IV,37,25,41,25,41,25,194,Bug,,Shed Skin,,Run Away,1 Def,Neutral,Bug,,255,
402,Kricketune,IV,77,85,51,55,51,65,384,Bug,,Swarm,,Technician,2 Atk,Neutral,Bug,,45,Lv. 10
403,Shinx,IV,45,65,34,40,34,45,263,Electric,,Rivalry,Intimidate,Guts,1Atk,Neutral,Field,,235,
404,Luxio,IV,60,85,49,60,49,60,363,Electric,,Rivalry,Intimidate,Guts,2 Atk,Neutral,Field,,120,Lv. 15
405,Luxray,IV,80,120,79,95,79,70,523,Electric,,Rivalry,Intimidate,Guts,3 Atk,Neutral,Field,,45,Lv. 30
406,Budew,IV,40,30,35,50,70,55,280,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,1 SpA,Neutral,-,,255,
407,Roserade,IV,60,70,65,125,105,90,515,Grass,Poison,Natural Cure,Poison Point,Technician,3 SpA,Neutral,Fairy,Grass,75,Shiny Stone
408,Cranidos,IV,67,125,40,30,30,58,350,Rock,,Mold Breaker,,Sheer Force,1 Atk,M (87.5%),Monster,,45,
409,Rampardos,IV,97,165,60,65,50,58,495,Rock,,Mold Breaker,,Sheer Force,2 Atk,M (87.5%),Monster,,45,Lv. 30
410,Shieldon,IV,30,42,118,42,88,30,350,Rock,Steel,Sturdy,,Soundproof,1 Def,M (87.5%),Monster,,45,
411,Bastiodon,IV,60,52,168,47,138,30,495,Rock,Steel,Sturdy,,Soundproof,2 Def,M (87.5%),Monster,,45,Lv. 30
412,Burmy,IV,40,29,45,29,45,36,224,Bug,,Shed Skin,,Overcoat,1 SpD,Neutral,Bug,,120,
413,Wormadam (P),IV,60,59,85,79,105,36,424,Bug,Grass,Anticipate,,Overcoat,2 SpD,F (100%),Bug,,45,Lv. 20F Plant Cloak
414,Mothim,IV,70,94,50,94,50,66,424,Bug,Flying,Swarm,,Tinted Lens,1 Atk/1 SpA,M (100%),Bug,,45,Lv. 20M
415,Combee,IV,30,30,42,30,42,70,244,Bug,Flying,Honey Gather,,Hustle,1 Spe,M (87.5%),Bug,,120,
416,Vespiquen,IV,70,80,102,80,102,40,474,Bug,Flying,Pressure,,Unnerve,1 Def/1 SpD,F (100%),Bug,,45,Lv. 21F
417,Pachirisu,IV,60,45,70,45,90,95,405,Electric,,Run Away,Pickup,Volt Absorb,1 Spe,Neutral,Field,Fairy,200,N
418,Buizel,IV,55,65,35,60,30,85,330,Water,,Swift Swim,,Water Veil,1 Spe,Neutral,Water 1,Field,190,
419,Floatzel,IV,85,105,55,85,50,115,495,Water,,Swift Swim,,Water Veil,2 Spe,Neutral,Water 1,Field,75,Lv. 26
420,Cherubi,IV,45,35,45,62,53,35,275,Grass,,Chlorophyll,,,1 SpA,Neutral,Fairy,Grass,190,
421,Cherrim,IV,70,60,70,87,78,85,450,Grass,,Flower Gift,,,2 SpA,Neutral,Fairy,Grass,75,Lv. 25
422,Shellos,IV,76,48,48,57,62,34,325,Water,,Sticky Hold,Storm Drain,Sand Force,1 HP,Neutral,Water 1,Amorphous,190,
423,Gastrodon,IV,111,83,68,92,82,39,475,Water,Ground,Sticky Hold,Storm Drain,Sand Force,2 HP,Neutral,Water 1,Amorphous,75,Lv. 30
424,Ambipom,IV,75,100,66,60,66,115,482,Normal,,Technician,Pickup,Skill Link,2 Spe,Neutral,Field,,45,Level w/ Double Hit
425,Drifloon,IV,90,50,34,60,44,70,348,Ghost,Flying,Aftermath,Unburden,Flare Boost,1 HP,Neutral,Amorphous,,125,
426,Drifblim,IV,150,80,44,90,54,80,498,Ghost,Flying,Aftermath,Unburden,Flare Boost,2 HP,Neutral,Amorphous,,60,Lv. 28
427,Buneary,IV,55,66,44,44,56,85,350,Normal,,Run Away,Klutz,Limber,1 Spe,Neutral,Field,Human-Like,190,
428,Lopunny,IV,65,76,84,54,96,105,480,Normal,,Cute Charm,Klutz,Limber,2 Spe,Neutral,Field,Human-Like,60,Friendship
429,Mismagius,IV,60,60,60,105,105,105,495,Ghost,,Levitate,,,1 SpA/1 SpD,Neutral,Amorphous,,45,Dusk Stone
430,Honchkrow,IV,100,125,52,105,52,71,505,Dark,Flying,Insomnia,Super Luck,Moxie,2 Atk,Neutral,Flying,,30,Dusk Stone
431,Glameow,IV,49,55,42,42,37,85,310,Normal,,Limber,Own Tempo,Keen Eye,1 Spe,F (75%),Field,,190,
432,Purugly,IV,71,82,64,64,59,112,452,Normal,,Thick Fat,Own Tempo,Defiant,2 Spe,F (75%),Field,,75,Lv. 38
433,Chingling,IV,45,30,50,65,50,45,285,Psychic,,Levitate,,,1 SpA,Neutral,-,,120,
434,Stunky,IV,63,63,47,41,41,74,329,Poison,Dark,Stench,Aftermath,Keen Eye,1 Spe,Neutral,Field,,225,
435,Skuntank,IV,103,93,67,71,61,84,479,Poison,Dark,Stench,Aftermath,Keen Eye,2 HP,Neutral,Field,,60,Lv. 34
436,Bronzor,IV,57,24,86,24,86,23,300,Steel,Psychic,Levitate,Heatproof,Heavy Metal,1 Def,None,Mineral,,255,
437,Bronzong,IV,67,89,116,79,116,33,500,Steel,Psychic,Levitate,Heatproof,Heavy Metal,1 Def/1 SpD,None,Mineral,,90,Lv. 33
438,Bonsly,IV,50,80,95,10,45,10,290,Rock,,Sturdy,Rock Head,Rattled,1 Def,Neutral,-,,255,
439,Mime Jr.,IV,20,25,45,70,90,60,310,Psychic,Fairy,Soundproof,Filter,Technician,1 SpD,Neutral,-,,145,
440,Happiny,IV,100,5,5,15,65,30,220,Normal,,Natural Cure,Serene Grace,Friend Guard,1 HP,F (100%),-,,130,
441,Chatot,IV,76,65,45,92,42,91,411,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1 Atk,Neutral,Flying,,30,N
442,Spiritomb,IV,50,92,108,92,108,35,485,Ghost,Dark,Pressure,,Infiltrator,1 Def/1 SpD,Neutral,Amorphous,,100,N
443,Gible,IV,58,70,45,40,45,42,300,Dragon,Ground,Sand Veil,,Rough Skin,1 Atk,Neutral,Monster,Dragon,45,
444,Gabite,IV,68,90,65,50,55,82,410,Dragon,Ground,Sand Veil,,Rough Skin,2 Atk,Neutral,Monster,Dragon,45,Lv. 24
445,Garchomp,IV,108,130,95,80,85,102,600,Dragon,Ground,Sand Veil,,Rough Skin,3 Atk,Neutral,Monster,Dragon,45,Lv. 48
446,Munchlax,IV,135,85,40,40,85,5,390,Normal,,Pickup,Thick Fat,Gluttony,1 HP,M (87.5%),-,,50,
447,Riolu,IV,40,70,40,35,40,60,285,Fighting,,Steadfast,Inner Focus,Prankster,1 Atk,M (87.5%),-,,75,
448,Lucario,IV,70,110,70,115,70,90,525,Fighting,Steel,Steadfast,Inner Focus,Justified,1 Atk/1 SpA,M (87.5%),Field,Human-Like,45,Morn/Day Friendship
449,Hippopotas,IV,68,72,78,38,42,32,330,Ground,,Sand Stream,,Sand Force,1 Def,Neutral,Field,,140,
450,Hippowdon,IV,108,112,118,68,72,47,525,Ground,,Sand Stream,,Sand Force,2 Def,Neutral,Field,,60,Lv. 34
451,Skorupi,IV,40,50,90,30,55,65,330,Poison,Bug,Battle Armor,Sniper,Keen Eye,1 Def,Neutral,Bug,Water 3,120,
452,Drapion,IV,70,90,110,60,75,95,500,Poison,Dark,Battle Armor,Sniper,Keen Eye,2 Def,Neutral,Bug,Water 3,45,Lv. 40
453,Croagunk,IV,48,61,40,61,40,50,300,Poison,Fighting,Anticipate,Dry Skin,Poison Touch,1 Atk,Neutral,Human-Like,,140,
454,Toxicroak,IV,83,106,65,86,65,85,490,Poison,Fighting,Anticipate,Dry Skin,Poison Touch,2 Atk,Neutral,Human-Like,,75,Lv. 37
455,Carnivine,IV,74,100,72,90,72,46,454,Grass,,Levitate,,,2 Atk,Neutral,Grass,,200,N
456,Finneon,IV,49,49,56,49,61,66,330,Water,,Swift Swim,Storm Drain,Water Veil,1 Spe,Neutral,Water 2,,190,
457,Lumineon,IV,69,69,76,69,86,91,460,Water,,Swift Swim,Storm Drain,Water Veil,2 Spe,Neutral,Water 2,,75,Lv. 31
458,Mantyke,IV,45,20,50,60,120,50,345,Water,Flying,Swift Swim,Water Absorb,,1 SpD,Neutral,-,,25,
459,Snover,IV,60,62,50,62,60,40,334,Ice,Grass,Snow Warning,,Soundproof,1 Atk,Neutral,Monster,Grass,120,
460,Abomasnow,IV,90,92,75,92,85,60,494,Ice,Grass,Snow Warning,,Soundproof,1 Atk/1 SpA,Neutral,Monster,Grass,60,Lv. 40
461,Weavile,IV,70,120,65,45,85,125,510,Dark,Ice,Pressure,,Pickpocket,1 Atk/1 Spe,Neutral,Field,,45,Nite Level h/ Razor Claw
462,Magnezone,IV,70,70,115,130,90,60,535,Electric,Steel,Magnet Pull,Sturdy,Analytic,3 SpA,None,Mineral,,30,Level a/ Mt. Coronet
463,Lickilicky,IV,110,85,95,80,95,50,515,Normal,,Own Tempo,Oblivious,Cloud Nine,3 HP,Neutral,Monster,,30,Level w/ Rollout
464,Rhyperior,IV,115,140,130,55,55,40,535,Ground,Rock,Lightningrod,Solid Rock,Regenerator,3 Atk,Neutral,Monster,Field,30,Trade h/ Protector
465,Tangrowth,IV,100,100,125,110,50,50,535,Grass,,Chlorophyll,Leaf Guard,Regenerator,2 Def,Neutral,Grass,,30,Level w/ Ancientpower
466,Electivire,IV,75,123,67,95,85,95,540,Electric,,Motor Drive,,Vital Spirit,3 Atk,M (75%),Human-Like,,30,Trade h/ Electrizer
467,Magmortar,IV,75,95,67,125,95,83,540,Fire,,Flame Body,,Vital Spirit,3 SpA,M (75%),Human-Like,,30,Trade h/ Magmarizer
468,Togekiss,IV,85,50,95,120,115,80,545,Fairy,Flying,Hustle,Serene Grace,Super Luck,2 SpA/1 SpD,M (87.5%),Flying,Fairy,30,Shiny Stone
469,Yanmega,IV,86,76,86,116,56,95,515,Bug,Flying,Speed Boost,Tinted Lens,Frisk,2 Atk,Neutral,Bug,,30,Level w/ Ancientpower
470,Leafeon,IV,65,110,130,60,65,95,525,Grass,,Leaf Guard,,Chlorophyll,2 Def,M (87.5%),Field,,45,Level a/ Moss Rock
471,Glaceon,IV,65,60,110,130,95,65,525,Ice,,Snow Cloak,,Ice Body,2 SpA,M (87.5%),Field,,45,Level a/ Ice Rock
472,Gliscor,IV,75,95,125,45,75,95,510,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,2 Def,Neutral,Bug,,30,Nite Level h/ Razor Fang
473,Mamoswine,IV,110,130,80,70,60,80,530,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,3 Atk,Neutral,Field,,50,Level w/ Ancientpower
474,Porygon-Z,IV,85,80,70,135,75,90,535,Normal,,Adaptability,Download,Analytic,3 SpA,None,Mineral,,30,Trade w/ Dubious Disc
475,Gallade,IV,68,125,65,65,115,80,518,Psychic,Fighting,Steadfast,,Justified,3 Atk,M (100%),Human-Like,Amorphous,45,Dawn StoneM
476,Probopass,IV,60,55,145,75,150,40,525,Rock,Steel,Sturdy,Magnet Pull,Sand Force,1 Def/2 SpD,Neutral,Mineral,,60,Level a/ Mt. Coronet
477,Dusknoir,IV,45,100,135,65,135,45,525,Ghost,,Pressure,,Frisk,1 Def/2 SpD,Neutral,Amorphous,,45,Trade w/ Reaper Cloth
478,Froslass,IV,70,80,70,80,70,110,480,Ice,Ghost,Snow Cloak,,Cursed Body,2 Spe,F (100%),Fairy,Mineral,75,Dawn StoneF
479,Rotom,IV,50,50,77,95,77,91,440,Electric,Ghost,Levitate,,,1 SpA/1 Spe,None,Amorphous,,45,N
480,Uxie,IV,75,75,130,75,130,95,580,Psychic,,Levitate,,,2 Def/1 SpD,None,-,,3,N
481,Mesprit,IV,80,105,105,105,105,80,580,Psychic,,Levitate,,,1 Atk/1 SpA/1 SpD,None,-,,3,N
482,Azelf,IV,75,125,70,125,70,115,580,Psychic,,Levitate,,,2 Atk/1 SpA,None,-,,3,N
483,Dialga,IV,100,120,120,150,100,90,680,Steel,Dragon,Pressure,,Telepathy,3 SpA,None,-,,3,N
484,Palkia,IV,90,120,100,150,120,100,680,Water,Dragon,Pressure,,Telepathy,3 SpA,None,-,,3,N
485,Heatran,IV,91,90,106,130,106,77,600,Fire,Steel,Flash Fire,,Flame Body,3 SpA,Neutral,-,,3,N
486,Regigigas,IV,110,160,110,80,110,100,670,Normal,,Slow Start,,,3 Atk,None,-,,3,N
487,Giratina,IV,150,100,120,100,120,90,680,Ghost,Dragon,Pressure,,Telepathy,3 HP,None,-,,3,N
488,Cresselia,IV,120,70,110,75,120,85,580,Psychic,,Levitate,,,3 SpD,F (100%),-,,3,N
489,Phione,IV,80,80,80,80,80,80,480,Water,,Hydration,,,1 HP,None,-,,30,N
490,Manaphy,IV,100,100,100,100,100,100,600,Water,,Hydration,,,3 HP,None,-,,3,N
491,Darkrai,IV,70,90,90,135,90,125,600,Dark,,Bad Dreams,,,1 Spe/2 SpA,None,-,,3,N
492,Shaymin,IV,100,100,100,100,100,100,600,Grass,,Natural Cure,,,3 HP,None,-,,45,N
493,Arceus,IV,120,120,120,120,120,120,720,Normal,,Multitype,,,3 HP,None,-,,3,N
494,Victini,V,100,100,100,100,100,100,600,Psychic,Fire,Victory Star,,,3 HP,None,-,,3,N
495,Snivy,V,45,45,55,45,55,63,308,Grass,,Overgrow,,Contrary,1 Spe,M (87.5%),Field,Grass,45,
496,Servine,V,60,60,75,60,75,83,413,Grass,,Overgrow,,Contrary,2 Spe,M (87.5%),Field,Grass,45,Lv. 17
497,Serperior,V,75,75,95,75,95,113,528,Grass,,Overgrow,,Contrary,3 Spe,M (87.5%),Field,Grass,45,Lv. 36
498,Tepig,V,65,63,45,45,45,45,308,Fire,,Blaze,,Thick Fat,1 HP,M (87.5%),Field,,45,
499,Pignite,V,90,93,55,70,55,55,418,Fire,Fighting,Blaze,,Thick Fat,2 Atk,M (87.5%),Field,,45,Lv. 17
500,Emboar,V,110,123,65,100,65,65,528,Fire,Fighting,Blaze,,Reckless,3 Atk,M (87.5%),Field,,45,Lv. 36
501,Oshawott,V,55,55,45,63,45,45,308,Water,,Torrent,,Shell Armor,1 SpA,M (87.5%),Field,,45,
502,Dewott,V,75,75,60,83,60,60,413,Water,,Torrent,,Shell Armor,2 SpA,M (87.5%),Field,,45,Lv. 17
503,Samurott,V,95,100,85,108,70,70,528,Water,,Torrent,,Shell Armor,3 SpA,M (87.5%),Field,,45,Lv. 36
504,Patrat,V,45,55,39,35,39,42,255,Normal,,Run Away,Keen Eye,Analytic,1 Atk,Neutral,Field,,255,
505,Watchog,V,60,85,69,60,69,77,420,Normal,,Illuminate,Keen Eye,Analytic,1 Atk,Neutral,Field,,255,Lv. 20
506,Lillipup,V,45,60,45,25,45,55,275,Normal,,Vital Spirit,Pickup,Run Away,1 Atk,Neutral,Field,,255,
507,Herdier,V,65,80,65,35,65,60,370,Normal,,Intimidate,Sand Rush,Scrappy,2 Atk,Neutral,Field,,120,Lv. 16
508,Stoutland,V,85,110,90,45,90,80,500,Normal,,Intimidate,Sand Rush,Scrappy,3 Atk,Neutral,Field,,45,Lv. 32
509,Purrloin,V,41,50,37,50,37,66,281,Dark,,Limber,Unburden,Prankster,1 Spe,Neutral,Field,,255,
510,Liepard,V,64,88,50,88,50,106,446,Dark,,Limber,Unburden,Prankster,2 Spe,Neutral,Field,,90,Lv. 20
511,Pansage,V,50,53,48,53,48,64,316,Grass,,Gluttony,,Overgrowth,1 Spe,M (87.5%),Field,,190,
512,Simisage,V,75,98,63,98,63,101,498,Grass,,Gluttony,,Overgrowth,2 Spe,M (87.5%),Field,,75,Leaf Stone
513,Pansear,V,50,53,48,53,48,64,316,Fire,,Gluttony,,Blaze,1 Spe,M (87.5%),Field,,190,
514,Simisear,V,75,98,63,98,63,101,498,Fire,,Gluttony,,Blaze,2 Spe,M (87.5%),Field,,75,Fire Stone
515,Panpour,V,50,53,48,53,48,64,316,Water,,Gluttony,,Torrent,1 Spe,M (87.5%),Field,,190,
516,Simipour,V,75,98,63,98,63,101,498,Water,,Gluttony,,Torrent,2 Spe,M (87.5%),Field,,75,Water Stone
517,Munna,V,76,25,45,67,55,24,292,Psychic,,Forewarn,Synchronize,Telepathy,1 HP,Neutral,Field,,190,
518,Musharna,V,116,55,85,107,95,29,487,Psychic,,Forewarn,Synchronize,Telepathy,2 HP,Neutral,Field,,75,Moon Stone
519,Pidove,V,50,55,50,36,30,43,264,Normal,Flying,Big Pecks,Super Luck,Rivalry,1 Atk,Neutral,Flying,,255,
520,Tranquill,V,62,77,62,50,42,65,358,Normal,Flying,Big Pecks,Super Luck,Rivalry,2 Atk,Neutral,Flying,,120,Lv. 21
521,Unfezant,V,80,115,80,65,55,93,488,Normal,Flying,Big Pecks,Super Luck,Rivalry,3 Atk,Neutral,Flying,,45,Lv. 32
522,Blitzle,V,45,60,32,50,32,76,295,Electric,,Lightningrod,Motor Drive,Sap Sipper,1 Spe,Neutral,Field,,190,
523,Zebstrika,V,75,100,63,80,63,116,497,Electric,,Lightningrod,Motor Drive,Sap Sipper,2 Spe,Neutral,Field,,75,Lv. 27
524,Roggenrola,V,55,75,85,25,25,15,280,Rock,,Sturdy,,Sand Force,1 Def,Neutral,Mineral,,255,
525,Boldore,V,70,105,105,50,40,20,390,Rock,,Sturdy,,Sand Force,1 Atk/1 Def,Neutral,Mineral,,120,Lv. 25
526,Gigalith,V,85,135,130,60,80,25,515,Rock,,Sturdy,,Sand Force,3 Atk,Neutral,Mineral,,45,Trade
527,Woobat,V,65,45,43,55,43,72,323,Psychic,Flying,Unaware,Klutz,Simple,1 Spe,Neutral,Field,Flying,190,
528,Swoobat,V,67,57,55,77,55,114,425,Psychic,Flying,Unaware,Klutz,Simple,2 Spe,Neutral,Field,Flying,45,Friendship
529,Drilbur,V,60,85,40,30,45,68,328,Ground,,Sand Rush,Sand Force,Mold Breaker,1 Atk,Neutral,Field,,120,
530,Excadrill,V,110,135,60,50,65,88,508,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,2 Atk,Neutral,Field,,60,Lv. 31
531,Audino,V,103,60,86,60,86,50,445,Normal,,Healer,Regenerator,Klutz,2 HP,Neutral,Fairy,,255,N
532,Timburr,V,75,80,55,25,35,35,305,Fighting,,Guts,Sheer Force,Iron Fist,1 Atk,M (75%),Human-Like,,180,
533,Gurdurr,V,85,105,85,40,50,40,405,Fighting,,Guts,Sheer Force,Iron Fist,2 Atk,M (75%),Human-Like,,90,Lv. 25
534,Conkeldurr,V,105,140,95,55,65,45,505,Fighting,,Guts,Sheer Force,Iron Fist,3 Atk,M (75%),Human-Like,,45,Trade
535,Tympole,V,50,50,40,50,40,64,294,Water,,Swift Swim,Hydration,Water Absorb,1 Spe,Neutral,Water 1,,255,
536,Palpitoad,V,75,65,55,65,55,69,384,Water,Ground,Swift Swim,Hydration,Water Absorb,2 HP,Neutral,Water 1,,120,Lv. 25
537,Seismitoad,V,105,95,75,85,75,74,509,Water,Ground,Swift Swim,Poison Touch,Water Absorb,3 HP,Neutral,Water 1,,45,Lv. 36
538,Throh,V,120,100,85,30,85,45,465,Fighting,,Guts,Inner Focus,Mold Breaker,2 HP,M (100%),Human-Like,,45,
539,Sawk,V,75,125,75,30,75,85,465,Fighting,,Sturdy,Inner Focus,Mold Breaker,2 Atk,M (100%),Human-Like,,45,
540,Sewaddle,V,45,53,70,40,60,42,310,Bug,Grass,Swarm,Chlorophyll,Overcoat,1 Def,Neutral,Bug,,255,
541,Swadloon,V,55,63,90,50,80,42,380,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,2 Def,Neutral,Bug,,120,Lv. 20
542,Leavanny,V,75,103,80,70,80,92,500,Bug,Grass,Swarm,Chlorophyll,Overcoat,3 Atk,Neutral,Bug,,45,Friendship
543,Venipede,V,30,45,59,30,39,57,260,Bug,Poison,Poison Point,Swarm,Speed Boost,1 Def,Neutral,Bug,,255,
544,Whirlipede,V,40,55,99,40,79,47,360,Bug,Poison,Poison Point,Swarm,Speed Boost,2 Def,Neutral,Bug,,120,Lv. 22
545,Scolipede,V,60,100,89,55,69,112,485,Bug,Poison,Poison Point,Swarm,Speed Boost,3 Spe,Neutral,Bug,,45,Lv. 30
546,Cottonee,V,40,27,60,37,50,66,280,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,1 Spe,Neutral,Grass,Fairy,190,
547,Whimsicott,V,60,67,85,77,75,116,480,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,2 Spe,Neutral,Grass,Fairy,75,Sun Stone
548,Petilil,V,45,35,50,70,50,30,280,Grass,,Chlorophyll,Own Tempo,Leaf Guard,1 SpA,F (100%),Grass,,190,
549,Lilligant,V,70,60,75,110,75,90,480,Grass,,Chlorophyll,Own Tempo,Leaf Guard,2 SpA,F (100%),Grass,,75,Sun Stone
550,Red Basculin,V,70,92,65,80,55,98,460,Water,,Reckless,Adaptability,Mold Breaker,2 Spe,Neutral,Water 2,,25,N
551,Sandile,V,50,72,35,35,35,65,292,Ground,Dark,Intimidate,Moxie,Anger Point,1 Atk,Neutral,Field,,180,
552,Krokorok,V,60,82,45,45,45,74,351,Ground,Dark,Intimidate,Moxie,Anger Point,2 Atk,Neutral,Field,,90,Lv. 29
553,Krookodile,V,95,117,80,65,70,92,519,Ground,Dark,Intimidate,Moxie,Anger Point,3 Atk,Neutral,Field,,45,Lv. 40
554,Darumaka,V,70,90,45,15,45,50,315,Fire,,Hustle,,Inner Focus,1 Atk,Neutral,Field,,120,
555,Darmanitan,V,105,140,55,30,55,95,480,Fire,,Sheer Force,,Zen Mode,2 Atk,Neutral,Field,,60,Lv. 35
556,Maractus,V,75,86,67,106,67,60,461,Grass,,Water Absorb,Chlorophyll,Storm Drain,2 SpA,Neutral,Grass,,255,N
557,Dwebble,V,50,65,85,35,35,55,325,Bug,Rock,Sturdy,Shell Armor,Weak Armor,1 Def,Neutral,Bug,Mineral,190,
558,Crustle,V,70,105,125,65,75,45,485,Bug,Rock,Sturdy,Shell Armor,Weak Armor,2 Def,Neutral,Bug,Mineral,75,Lv. 34
559,Scraggy,V,50,75,70,35,70,48,348,Dark,Fighting,Shed Skin,Moxie,Intimidate,1 Atk,Neutral,Field,Dragon,180,
560,Scrafty,V,65,90,115,45,115,58,488,Dark,Fighting,Shed Skin,Moxie,Intimidate,1 Def/1 SpD,Neutral,Field,Dragon,90,
561,Sigilyph,V,72,58,80,103,80,97,490,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lenses,2 SpA,Neutral,Flying,,45,
562,Yamask,V,38,30,85,55,65,30,303,Ghost,,Mummy,,,1 Def,Neutral,Mineral,Amorphous,190,
563,Cofagrigus,V,58,50,145,95,105,30,483,Ghost,,Mummy,,,2 Def,Neutral,Mineral,Amorphous,90,Lv. 34
564,Tirtouga,V,54,78,103,53,45,22,355,Water,Rock,Solid Rock,Sturdy,Swift Swim,1 Def,M (87.5%),Water 1,Water 3,45,
565,Carracosta,V,74,108,133,83,65,32,495,Water,Rock,Solid Rock,Sturdy,Swift Swim,2 Def,M (87.5%),Water 1,Water 3,45,Lv. 37
566,Archen,V,55,112,45,74,45,70,401,Rock,Flying,Defeatist,,,1 Atk,M (87.5%),Flying,Water 3,45,
567,Archeops,V,75,140,65,112,65,110,567,Rock,Flying,Defeatist,,,2 Atk,M (87.5%),Flying,Water 3,45,Lv. 37
568,Trubbish,V,50,50,62,40,62,65,329,Poison,,Stench,Sticky Hold,Aftermath,1 Spe,Neutral,Mineral,,190,
569,Garbodor,V,80,95,82,60,82,75,474,Poison,,Stench,Weak Armor,Aftermath,2 Atk,Neutral,Mineral,,60,Lv. 36
570,Zorua,V,40,65,40,80,40,65,330,Dark,,Illusion,,,1 SpA,M (87.5%),Field,,75,
571,Zoroark,V,60,105,60,120,60,105,510,Dark,,Illusion,,,2 SpA,M (87.5%),Field,,45,Lv. 30
572,Minccino,V,55,50,40,40,40,75,300,Normal,,Cute Charm,Technician,Skill Link,1 Spe,F (75%),Field,,255,
573,Ciccino,V,75,95,60,65,60,115,470,Normal,,Cute Charm,Technician,Skill Link,2 Spe,F (75%),Field,,60,Shiny Stone
574,Gothita,V,45,30,50,55,65,45,290,Psychic,,Frisk,Competitive,Shadow Tag,1 SpD,F (75%),Human-Like,,200,
575,Gothorita,V,60,45,70,75,85,55,390,Psychic,,Frisk,Competitive,Shadow Tag,2 SpD,F (75%),Human-Like,,100,Lv. 32
576,Gothitelle,V,70,55,95,95,110,65,490,Psychic,,Frisk,Competitive,Shadow Tag,3 SpD,F (75%),Human-Like,,50,Lv. 41
577,Solosis,V,45,30,40,105,50,20,290,Psychic,,Overcoat,Magic Guard,Regenerator,1 SpA,Neutral,Amorphous,,200,
578,Duosion,V,65,40,50,125,60,30,370,Psychic,,Overcoat,Magic Guard,Regenerator,2 SpA,Neutral,Amorphous,,100,Lv. 32
579,Reuniclus,V,110,65,75,125,85,30,490,Psychic,,Overcoat,Magic Guard,Regenerator,3 SpA,Neutral,Amorphous,,50,Lv. 41
580,Ducklett,V,62,44,50,44,50,55,305,Water,Flying,Keen Eye,Big Pecks,Hydration,1 HP,Neutral,Water 1,Flying,190,
581,Swanna,V,75,87,63,87,63,98,473,Water,Flying,Keen Eye,Big Pecks,Hydration,2 Spe,Neutral,Water 1,Flying,45,Lv. 35
582,Vanillite,V,36,50,50,65,60,44,305,Ice,,Ice Body,,Weak Armor,1 SpA,Neutral,Mineral,,255,
583,Vanillish,V,51,65,65,80,75,59,395,Ice,,Ice Body,,Weak Armor,2 SpA,Neutral,Mineral,,120,Lv. 35
584,Vanilluxe,V,71,95,85,110,95,79,535,Ice,,Ice Body,,Weak Armor,3 SpA,Neutral,Mineral,,45,Lv. 47
585,Deerling,V,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,1 Spe,Neutral,Field,,190,
586,Sawsbuck,V,80,100,70,60,70,95,475,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,2 Atk,Neutral,Field,,75,Lv. 34
587,Emolga,V,55,75,60,75,60,103,428,Electric,Flying,Static,,Motor Drive,2 Spe,Neutral,Field,,200,
588,Karrablast,V,50,75,45,40,45,60,315,Bug,,Swarm,Shed Skin,No Guard,1 Atk,Neutral,Bug,,200,
589,Escavalier,V,70,135,105,60,105,20,495,Bug,Steel,Swarm,Shell Armor,Overcoat,2 Atk,Neutral,Bug,,75,Trade w/ Shelmet
590,Foongus,V,69,55,45,55,55,15,294,Grass,Poison,Effect Spore,,Regenerator,1 HP,Neutral,Grass,,190,
591,Amoonguss,V,114,85,70,85,80,30,464,Grass,Poison,Effect Spore,,Regenerator,2 HP,Neutral,Grass,,75,Lv. 39
592,Frillish,V,55,40,50,65,85,40,335,Water,Ghost,Water Absorb,Cursed Body,Damp,1 SpD,Neutral,Amorphous,,190,
593,Jellicent,V,100,60,70,85,105,60,480,Water,Ghost,Water Absorb,Cursed Body,Damp,2 SpD,Neutral,Amorphous,,60,Lv. 40
